"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C7,C6";"C_0603_1608Metric";2;"10uF 10V";;;
2;"C5";"C_0603_1608Metric";1;"10nF 10V";;;
3;"C4";"C_0603_1608Metric";1;"1uF";;;
4;"L1,L2";"L_0603_1608Metric";2;"120 Ohm";;;
5;"U1";"XCVR_BC805M";1;"BC805M";;;
6;"Y1";"XTAL_CM9V-T1A-32.768KHZ-9PF-20PPM-TA-QC";1;"CM9V-T1A-32.768KHZ-9PF-20PPM-TA-QC";;;
7;"LED1";"LED_LTST-C_LTO";1;"LTST-C193TBKT-5A";;;
8;"C8,C9";"C_0603_1608Metric";2;"12pF nop";;;
9;"FD2,FD1";"Fiducial_0.5mm_Mask1mm";2;"Fiducial";;;
10;"S1";"SW_KMR221GLFS";1;"KMR221GLFS";;;
11;"R4,R3";"R_0603_1608Metric";2;"0R";;;
12;"C3,C2,C1";"C_0603_1608Metric";3;"0.1uF";;;
13;"U3";"SOT-25   SMV_TOS";1;"TCR3DF33_LMCT";;;
14;"U2";"QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm";1;"CP2102N-Axx-xQFN28";;;
15;"J3";"CONN_3220-10-0100-00_CNC";1;"3220-10-0100-00";;;
16;"R1";"R_0603_1608Metric";1;"10K 1%";;;
17;"R5,R2";"R_0603_1608Metric";2;"100K";;;
18;"J5,J4";"SAMTEC_TSW-107-23-H-S";2;"TSW-107-23-H-S";;;
19;"J1";"SAMTEC_TSW-103-23-H-S";1;"TSW-103-23-H-S";;;
20;"J2";"AMPHENOL_10118194-0001LF";1;"10118194-0001LF";;;
